Sample;"X(ms) [24,05,2024 10:41:39 735 UTC]";"IO,Entradas,Sensor[%DB1000,DBX58,5]";"Dados,PesoAtual[%DB1003,DBD2]";"Dados,PesoFiltrado[%DB1003,DBD6]";"Dados,IndicativoPesoNovo[%DB1003,DBX0,0]";"Dados,UltimoPeso[%DB1003,DBD10]";"Tendencia,Peso";"Tendencia,ColetaDados";;
208;"1,72E+12";0;"5,25";"0,649999976";1;280;278;0;;
209;"1,72E+12";0;"3,25";"0,550000012";1;280;278;0;;
210;"1,72E+12";0;"2,25";"0,300000012";1;280;278;0;;
211;"1,72E+12";0;"0,25";"0,300000012";1;280;278;0;;
212;"1,72E+12";0;"-1,75";"0,349999994";1;280;278;0;;
213;"1,72E+12";0;"-4,75";"0,550000012";1;280;278;0;;
214;"1,72E+12";0;"-4,75";"0,550000012";1;280;278;0;;
215;"1,72E+12";0;"2,25";"0,75";1;280;278;0;;
216;"1,72E+12";0;"7,25";"1,200000048";1;280;278;0;;
217;"1,72E+12";0;"9,25";"1,25";1;280;278;0;;
218;"1,72E+12";0;"9,25";"1,25";1;280;278;0;;
219;"1,72E+12";0;"8,25";1;1;280;278;0;;
220;"1,72E+12";0;"2,25";1;1;280;278;0;;
221;"1,72E+12";0;"-5,75";1;1;280;278;0;;
222;"1,72E+12";0;"-10,75";"0,649999976";1;280;278;0;;
223;"1,72E+12";0;"-10,75";"0,25";1;280;278;0;;
224;"1,72E+12";0;"-7,75";"0,25";1;280;278;0;;
225;"1,72E+12";0;"-3,75";"0,100000001";1;280;278;0;;
226;"1,72E+12";0;"-0,75";"0,050000001";1;280;278;0;;
227;"1,72E+12";0;"1,25";"0,050000001";1;280;278;0;;
228;"1,72E+12";0;"4,25";"-0,100000001";1;280;278;0;;
229;"1,72E+12";0;"3,25";"-0,050000001";1;280;278;0;;
230;"1,72E+12";0;"-0,75";"-0,050000001";1;280;278;0;;
231;"1,72E+12";0;"-7,75";0;1;280;278;0;;
232;"1,72E+12";0;"-10,75";"-0,150000006";1;280;278;0;;
233;"1,72E+12";0;"-8,75";"-0,150000006";1;280;278;0;;
234;"1,72E+12";0;"-7,75";"-0,300000012";1;280;278;0;;
235;"1,72E+12";0;"-5,75";"-0,550000012";1;280;278;0;;
236;"1,72E+12";0;"1,25";"-0,550000012";1;280;278;0;;
237;"1,72E+12";0;"7,25";"-0,600000024";1;280;278;0;;
238;"1,72E+12";0;"13,25";"-0,5";1;280;278;0;;
239;"1,72E+12";0;"11,25";"-0,5";1;280;278;0;;
240;"1,72E+12";0;"3,25";"-0,100000001";1;280;278;0;;
241;"1,72E+12";0;"0,25";"0,050000001";1;280;278;0;;
242;"1,72E+12";0;"-0,75";"0,050000001";1;280;278;0;;
243;"1,72E+12";0;"-0,75";"0,100000001";1;280;278;0;;
244;"1,72E+12";0;"-0,75";"0,300000012";1;280;278;0;;
245;"1,72E+12";0;"2,25";"0,300000012";1;280;278;0;;
246;"1,72E+12";0;"7,25";"0,300000012";1;280;278;0;;
247;"1,72E+12";0;"9,25";"0,200000003";1;280;278;0;;
248;"1,72E+12";0;"6,25";"0,050000001";1;280;278;0;;
249;"1,72E+12";0;"0,25";"0,050000001";1;280;278;0;;
250;"1,72E+12";0;"-4,75";"-0,349999994";1;280;278;0;;
251;"1,72E+12";0;"-6,75";"-0,400000006";1;280;278;0;;
252;"1,72E+12";0;"-6,75";"-0,400000006";1;280;278;0;;
253;"1,72E+12";0;"-4,75";"-0,200000003";1;280;278;0;;
254;"1,72E+12";0;"0,25";"0,200000003";1;280;278;0;;
255;"1,72E+12";0;"8,25";"0,200000003";1;280;278;0;;
256;"1,72E+12";0;"12,25";"0,649999976";1;280;278;0;;
257;"1,72E+12";0;"11,25";"1,200000048";1;280;278;0;;
258;"1,72E+12";0;"7,25";"1,200000048";1;280;278;0;;
259;"1,72E+12";0;"1,25";"1,350000024";1;280;278;0;;
260;"1,72E+12";0;"-4,75";"1,450000048";1;280;278;0;;
261;"1,72E+12";0;"-8,75";"1,450000048";1;280;278;0;;
262;"1,72E+12";0;"-8,75";"1,399999976";1;280;278;0;;
263;"1,72E+12";0;"-4,75";"1,399999976";1;280;278;0;;
264;"1,72E+12";0;"4,25";"1,399999976";1;280;278;0;;
265;"1,72E+12";0;"10,25";2;1;280;278;0;;
266;"1,72E+12";0;"13,25";"2,450000048";1;280;278;0;;
267;"1,72E+12";0;"10,25";"2,450000048";1;280;278;0;;
268;"1,72E+12";0;"2,25";"2,599999905";1;280;278;0;;
269;"1,72E+12";0;"-7,75";"1,649999976";1;280;278;0;;
270;"1,72E+12";0;"-15,75";"1,649999976";1;280;278;0;;
271;"1,72E+12";0;"-18,75";"0,699999988";1;280;278;0;;
272;"1,72E+12";0;"-11,75";"-0,200000003";1;280;278;0;;
273;"1,72E+12";0;"-3,75";"-0,200000003";1;280;278;0;;
274;"1,72E+12";0;"3,25";"-0,349999994";1;280;278;0;;
275;"1,72E+12";0;"6,25";"-0,300000012";1;280;278;0;;
276;"1,72E+12";0;"7,25";"-0,300000012";1;280;278;0;;
277;"1,72E+12";0;"3,25";"-0,300000012";1;280;278;0;;
278;"1,72E+12";0;"-1,75";"-0,449999988";1;280;278;0;;
279;"1,72E+12";0;"-8,75";"-0,449999988";1;280;278;0;;
280;"1,72E+12";0;"-13,75";"-0,899999976";1;280;278;0;;
281;"1,72E+12";0;"-11,75";"-1,25";1;280;278;0;;
282;"1,72E+12";0;"-4,75";"-1,25";1;280;278;0;;
283;"1,72E+12";0;"2,25";"-1,149999976";1;280;278;0;;
284;"1,72E+12";0;"5,25";"-1,049999952";1;280;278;0;;
285;"1,72E+12";0;"5,25";"-1,049999952";1;280;278;0;;
286;"1,72E+12";0;"5,25";"-1,200000048";1;280;278;0;;
287;"1,72E+12";0;"5,25";"-1,549999952";1;280;278;0;;
288;"1,72E+12";0;"1,25";"-1,549999952";1;280;278;0;;
289;"1,72E+12";0;"-3,75";"-1,850000024";1;280;278;0;;
290;"1,72E+12";0;"-4,75";"-2,099999905";1;280;278;0;;
291;"1,72E+12";0;"1,25";"-2,099999905";1;280;278;0;;
292;"1,72E+12";0;"10,25";"-1,600000024";1;280;278;0;;
293;"1,72E+12";0;"11,25";"-0,649999976";1;280;278;0;;
294;"1,72E+12";0;"8,25";"-0,649999976";1;280;278;0;;
295;"1,72E+12";0;"4,25";"-0,449999988";1;280;278;0;;
296;"1,72E+12";0;"0,25";"-0,75";1;280;278;0;;
297;"1,72E+12";0;"-5,75";"-1,549999952";1;280;278;0;;
298;"1,72E+12";0;"-10,75";"-1,549999952";1;280;278;0;;
299;"1,72E+12";0;"-11,75";"-1,700000048";1;280;278;0;;
300;"1,72E+12";0;"-4,75";"-1,5";1;280;278;0;;
301;"1,72E+12";0;"4,25";"-1,5";1;280;278;0;;
302;"1,72E+12";0;"6,25";"-0,349999994";1;280;278;0;;
303;"1,72E+12";0;"6,25";"0,150000006";1;280;278;0;;
304;"1,72E+12";0;"6,25";"0,150000006";1;280;278;0;;
305;"1,72E+12";0;"4,25";"0,300000012";1;280;278;0;;
306;"1,72E+12";0;"0,25";"0,150000006";1;280;278;0;;
307;"1,72E+12";0;"-4,75";"0,150000006";1;280;278;0;;
308;"1,72E+12";0;"-4,75";"-0,25";1;280;278;0;;
309;"1,72E+12";0;"-0,75";"-0,050000001";1;280;278;0;;
310;"1,72E+12";0;"5,25";"-0,050000001";1;280;278;0;;
311;"1,72E+12";0;"7,25";"0,899999976";1;280;278;0;;
312;"1,72E+12";0;"8,25";"1,5";1;280;278;0;;
313;"1,72E+12";0;"8,25";"1,5";1;280;278;0;;
314;"1,72E+12";0;"3,25";"1,799999952";1;280;278;0;;
315;"1,72E+12";0;"-0,75";"1,700000048";1;280;278;0;;
316;"1,72E+12";0;"-4,75";"1,700000048";1;280;278;0;;
